"ireland_4.cserial","ireland_4.t2q18a1","ireland_4.t2q18a2","ireland_4.t2q18a3","ireland_4.t2q18a4","ireland_4.t2q18a5","ireland_4.t2q18anu","ireland_4.t3q18a1","ireland_4.t3q18a2","ireland_4.t3q18a3","ireland_4.t3q18a4","ireland_4.t3q18a5","ireland_4.t3q18anu","ireland_4.t2q18b1","ireland_4.t2q18b2","ireland_4.t2q18b3","ireland_4.t2q18b4","ireland_4.t2q18b5","ireland_4.t2q18bnu","ireland_4.t3q18b1","ireland_4.t3q18b2","ireland_4.t3q18b3","ireland_4.t3q18b4","ireland_4.t3q18b5","ireland_4.t3q18bnu","ireland_4.t2q19a1","ireland_4.t2q19a2","ireland_4.t2q19a3","ireland_4.t2q19a4","ireland_4.t2q19a5","ireland_4.t2q19anu","ireland_4.t3q19a1","ireland_4.t3q19a2","ireland_4.t3q19a3","ireland_4.t3q19a4","ireland_4.t3q19a5","ireland_4.t3q19anu","ireland_4.t2q19b1","ireland_4.t2q19b2","ireland_4.t2q19b3","ireland_4.t2q19b4","ireland_4.t2q19b5","ireland_4.t2q19bnu","ireland_4.t3q19b1","ireland_4.t3q19b2","ireland_4.t3q19b3","ireland_4.t3q19b4","ireland_4.t3q19b5","ireland_4.t3q19bnu","ireland_4.t2q20a1","ireland_4.t2q20a2","ireland_4.t2q20a3","ireland_4.t2q20a4","ireland_4.t2q20a5","ireland_4.t2q20anu","ireland_4.t3q20a1","ireland_4.t3q20a2","ireland_4.t3q20a3","ireland_4.t3q20a4","ireland_4.t3q20a5","ireland_4.t3q20anu","ireland_4.t2q20b1","ireland_4.t2q20b2","ireland_4.t2q20b3","ireland_4.t2q20b4","ireland_4.t2q20b5","ireland_4.t2q20bnu","ireland_4.t3q20b1","ireland_4.t3q20b2","ireland_4.t3q20b3","ireland_4.t3q20b4","ireland_4.t3q20b5","ireland_4.t3q20bnu","ireland_4.t2q21a1","ireland_4.t2q21a2","ireland_4.t2q21a3","ireland_4.t2q21a4","ireland_4.t2q21a5","ireland_4.t2q21anu","ireland_4.t3q21a1","ireland_4.t3q21a2","ireland_4.t3q21a3","ireland_4.t3q21a4","ireland_4.t3q21a5","ireland_4.t3q21anu","ireland_4.t2q21b1","ireland_4.t2q21b2","ireland_4.t2q21b3","ireland_4.t2q21b4","ireland_4.t2q21b5","ireland_4.t2q21bnu","ireland_4.t3q21b1","ireland_4.t3q21b2","ireland_4.t3q21b3","ireland_4.t3q21b4","ireland_4.t3q21b5","ireland_4.t3q21bnu"
272038,"Freedom of choice","Everyone equal","Teachers jobs","Remain in safe zone","Changes can happen slowly",5,"NA","NA","NA","NA","NA",0,"Small schools forced to close (rural areas)","Forcing schools to join together to meet curriculum","Money issues","Church objections","NA",4,"Churches would be interfering","NA","NA","NA","NA",1,"Remaining in a safe zone","Being taught their own religion values","Having their own pride in who they are","NA","NA",3,"Torn between religion","NA","NA","NA","NA",1,"For the country to move forward","To understand where eachother came from","to accommodate new people arriving in the country","More money arriving for each school","Social development",5,"Help peace process","NA","NA","NA","NA",1,"No difference between anyone","Use of all teachers for everyone","Able to access more courses","NA","NA",3,"More understanding when it comes to future employment","NA","NA","NA","NA",1,"Racial abuse to eachother","Lose their sense of identity","Too hard to involve all aspects of the two","NA","NA",3,"Arguments between children of different religions","NA","NA","NA","NA",1,"Child longer to decide on it's future","Parents more access to teachers","Remain in it's group longer before moving schools","Young children mixing with older","Children become bored",5,"More time to judge what school would best suit the child","NA","NA","NA","NA",1,"Children moving school at a bad social age","NA","NA","NA","NA",1,"Age issues. Older children with younder children","Changing schools too often","NA","NA","NA",2
182097,"NA","NA","NA","NA","NA",0,"Haven't a clue","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"So as to steep them in their own tradition","Political reasons","Bigoted","Intransigence","NA",4,"Barely used to it, keeping tradition","NA","NA","NA","NA",1,"To help the children to get on better","Children are more liberal when they are mixed","They grow up knowing eachother tradition","They have more respect for eachother","They would like would be better pupils",5,"Get on better with people","More open minded","Tunnel vision is eliminated","NA","NA",3,"They may be taught together but separately for R.E. so that they do not lose what parents may think vital to their development","NA","NA","NA","NA",1,"To have them make friends with children of a different religion","NA","NA","NA","NA",1,"Some people just do the same as their parents and for no real reason best keep things as they are","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"They feel may at 11-14 the child needs to move on","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0
261109,"It would enable children to sample different subject areas, giving variety","It would allow them to mix with different students of varying ability","Brighter students in their system may encourage and enhace the abilities of weaker students","Selection may be made at a later age when the child fully understands what area he/she is interested in. Academic, vocational or a mixture","NA",4,"Less selection, people feel more equal","NA","NA","NA","NA",1,"Children of greater ability may receive less attention as a result of the mixed ability","Children who have weaker ability may loose self-esteem","Children who have weaker ability may receive less time","Pace of learning may be too slow for more academic students","Everyone should learn within their own capacity and with people their own ability",5,"There would be too much competition","NA","NA","NA","NA",1,"Fear of change","To maintain their own religious identity","Maintain their own religious rituals","NA","NA",3,"Teach the ethos of their own religion","Maintain their own identity","Religious bullying","NA","NA",3,"It would give students a more all round way of thinking and education","Encourage respect for other cultures and faiths","Get to know a wider area of people within their own community","Less segregation","NA",4,"Maoving peace argument forward","Mutual respect and understanding of culture","NA","NA","NA",2,"Encourage integration with other community","Avoidance of segregation","NA","NA","NA",2,"Still can keep religion and culture","More balanced way of introducing mixed education","NA","NA","NA",2,"Afraid that their own religious beliefs and ethos be lost","NA","NA","NA","NA",1,"Disruptive to education being moved about","NA","NA","NA","NA",1,"Give students a longer time to think about what they want to do in the future","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Children need to move from primary at age 11","Encourage them to integrate outside their community","Broaden their minds","NA","NA",3,"Kids need to mature and move on","NA","NA","NA","NA",1
253124,"NA","NA","NA","NA","NA",0,"Because people have all different abilities","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Don't know only people who don't want change for the better","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Learn o mix","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Because it brings them together","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"People would be afraid to let their children mix","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0
244019,"It would so away with the failure label applied to children who don't pass the 11+","All children have the right to the same education","Having low achievers with high achievers would encourage them to work harder","NA","NA",3,"It does away with selection at 11","No label of failure at 11","NA","NA","NA",2,"Chidren have different levels of intelligence. All ability schools would not always offer the best education to the smarter children","Children work better in groups of similar ability","Teaching methods would be easier when dealing with similar abilities","NA","NA",3,"You can teach children after selection","NA","NA","NA","NA",1,"They would lose their religious identity","NA","NA","NA","NA",1,"Fear of what they don't understand","NA","NA","NA","NA",1,"It is better for them to mix and learn from eachothers experiences","NA","NA","NA","NA",1,"Giving them an earlier contact of all groups","NA","NA","NA","NA",1,"There would be no point in sending them if this were not the case","NA","NA","NA","NA",1,"they must be allowed to mix","No segregation","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"They don't want them to find out things that are not part of their culture","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Keeping children to 14 are under less stress than at 11 to show their true potential","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Children are changing at 11 and in some cases it's easier","They have longer to settle in before GCSE","NA","NA","NA",2
147026,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"Fear of unknown (of other religious schools)","Religious persons","What they have always known","Intimidation within religion","Bullying",5,"NA","NA","NA","NA","NA",NA,"Respect each other","Learn to live and socialise together","Respect for their ethos","Better for economy","Deroot sectarianism",5,"NA","NA","NA","NA","NA",NA,"Grow together","Respect eachothers ethos","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"To young to decide at 11","More mature at 14","Know what good at 14","NA","NA",3,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA
225092,"Each child would be equal","All would have the same holidays","No difference would be made","All children would get a better chance","NA",4,"Every child would be catered for","No isolation","Discrimination","NA","NA",3,"Children with special needs would suffer","NA","NA","NA","NA",1,"Parent feel that grammar school children ability would be kept back","NA","NA","NA","NA",1,"Religion as a subject would not be present","Sports would be limited","Children would not mix with other religions","NA","NA",3,"Different sports","Different Sacraments","Different languages","NA","NA",3,"More grant aid would be available","Children would mix well with other communities","NA","NA","NA",2,"If they start at an early age they would not know any different","Broaden their friends and ideas","No bitterness when they get older","NA","NA",3,"NA","NA","NA","NA","NA",0,"Mixing better","Mixing and learning other cultures","NA","NA","NA",2,"Catholics would suffer because R.E. as a subject would not be taught","NA","NA","NA","NA",1,"People who didn't want their children to mix with other groups","NA","NA","NA","NA",1,"Family members would attend same school to 14","Holidays all the same","By 14 they would be more mature","NA","NA",3,"11 or 10 is to young for a child especially coming from a rural school going into a big town school is very daunting","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Not having to change at 11","NA","NA","NA","NA",1
224181,"Wider choice for their children","NA","NA","NA","NA",1,"I've two boys and they could be at the same school whether or not one passes their 11+ or not","NA","NA","NA","NA",1,"Ignorance","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Bigotry","NA","NA","NA","NA",1,"Not sure maybe so they don't lose their identity","NA","NA","NA","NA",1,"To teach our kids tolerence, respect for others regardless of religion, culture etc","Help the situation in NI","NA","NA","NA",2,"To prepare them for adult life and adult situations like work","NA","NA","NA","NA",1,"They can form friendships with other kids from different backgrounds, religions etc","NA","NA","NA","NA",1,"Not too sure, but it would be silly to have different religions separated in the one building","NA","NA","NA","NA",1,"B igotry - disguised by excuses of wanting a good understanding of their own religion etc","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Have other family members at same school","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0
253026,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA
261133,"Access to all - vocational academic","No need to change from school to school","Less disruptive","NA","NA",3,"NA","NA","NA","NA","NA",0,"Less focused","Students need to be academic led","More distractions in school environment","Schools ethos needs to be widened","Children require the need to be compeditive",5,"Less chance for more/less advanced children to have proper teaching","NA","NA","NA","NA",1,"Children have a common goal","Less antagonism","Religious education is paramount","NA","NA",3,"To keep cultural identity","NA","NA","NA","NA",1,"Learn to live with other","Identify and respect others views","Can come together on local decisions","Build society - form sub-groups out of schools","NA",4,"More understanding between religions","NA","NA","NA","NA",1,"Has to be interated","Integration is working and learning together","Allow free time to develop and grow together","Gives oopportunities to voice opinion on certain aspects as a group","NA",4,"Again seeing another persons religions","NA","NA","NA","NA",1,"Children will develop more segregation if they are educated under the one roof but not together","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Allow children to develop","Allows child to maximise in their development","More ready for a change and challenge at 14","Can make a stronger contribution to their future","NA",4,"Children know better what background to do when they are a bit older","NA","NA","NA","NA",1,"Some children kept at primary too long","Not allowed to develop at 11-12 when ready","Ther enthusiasm may be blocked","NA","NA",3,"Too ong in primary school","NA","NA","NA","NA",1
153123,"NA","NA","NA","NA","NA",0,"Child would have a chance of trying out more subjects to make up his/her mind what way they wante to go","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"No opposition in our group","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"This was not really discussed in our group","NA","NA","NA","NA",1,"We are all equal and should be treated equal","There may not be the troubles in N Ireland we have today","Everyone would get on better","NA","NA",3,"Not discussed in our group","Better understanding of both religions","Chance to find out more about other side","NA","NA",3,"NA","NA","NA","NA","NA",0,"Taught in mixed class a good idea","Would go some way to getting children to mix","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"No disagreement in our group","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"They felt this was better than 11+","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"No opposition that I can remember","NA","NA","NA","NA",1
234123,"NA","NA","NA","NA","NA",0,"All children get the same education","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Parents went to same school","Fear of bullying","Strong religious convictions","NA","NA",3,"So they don’t lose their identity","NA","NA","NA","NA",1,"Provides children with a broader spectrum of life","Promotes understanding and tolerance","Takes religion out of the equation","NA","NA",3,"To stop segregation","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Too much upheaval, cause unsettlement","NA","NA","NA","NA",1,"Might be financially viable","NA","NA","NA","NA",1,"Less pressure at 11 to choose subjects","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0
174058,"NA","NA","NA","NA","NA",0,"To make life easier all round","Convenience","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"To prevent hassle and disagreement","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Some parents are very religious and want their own religions taught","NA","NA","NA","NA",1,"Bring the communities together","NA","NA","NA","NA",1,"For peace","To get them to get on together","NA","NA","NA",2,"Teach religion outside school","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Some parents think children are very young for changing","They are not yet big enough to move","They would know better what they wanted later","NA","NA",3,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0
133099,"NA","NA","NA","NA","NA",0,"No percieved failures at 11","Give pupils time to find their own level","A balance available","Society is mixed ability","Stronger children could pull weaker ones on",5,"Cost","Unachievable","Woul increase travel times","Schools would have to be too large","NA",4,"More academic pupils could move on faster","Pupils with less ablity would have more time given to them","Subjects could be more focused on the individual","NA","NA",3,"NA","NA","NA","NA","NA",0,"Easier for treachers to teach religion","Church holidays etc. easier to maage","Promoting the faith","No children would be segregated","Squabbling about the various religions",5,"Increase integration of the community","Increase social skills of the community","Reduce costs to the education borads","Would solve the problem of bigotry","Would increase the overall proficiency of the teaching profession",5,"Social advantage (know their neighbours, learn to live together)","Steer away many of the mistrusts","Children would become well balanced","Leading to more productive adults. Better community relations between adults","NA",4,"Learn to respect eachothers traditions","Would take religion as a focal point out of the education system","Reduce the number of overall classrooms & teaching staff","NA","NA",3,"Expertise of teachers could be shared between all  the pupils","Break down the barriers between schools","Solve problems in school budgets","NA","NA",3,"NA","NA","NA","NA","NA",0,"Fear of the unknown","Some schols could faind it disruptive","Distance problems, especially in rural areas","NA","NA",3,"NA","NA","NA","NA","NA",0,"Natural progression throughout school years","Stability for the pupil","Extensive pupil profile in place","Budgets would be fair","NA",4,"Schools would need to be too large","NA","NA","NA","NA",1,"Children sometimes need change to boost their confidence","They move on to more subject focused work","More expertise available in the present","NA","NA",3
253133,"All pupils have same teaching","NA","NA","NA","NA",1,"At the end of the day every child should be treated the same","Every child gets a fair chance","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"To think that smarter children be treated better","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Just the way they are brought up to not respect the other side","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Lots of people fed up with being seen to be of one religion by the uniform they use","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Because we make a difference because of religion","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Because they would be older and better able to manage","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0
244076,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA
203092,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"So they can learn to respect eachother's religion","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0
121049,"More equality","Better research","NA","NA","NA",2,"Everyone educated together","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Because some parent would be looking for grammar schools as more elitist","NA","NA","NA","NA",1,"Own identity","Ownership of their ethos","NA","NA","NA",2,"Bigotry","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"To give them a picture of everything","Cross-community","Better relations","NA","NA",3,"NA","NA","NA","NA","NA",0,"Culture thing","Learn different cultures","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"They wouldn't want their children to change school at 11, theyu think 14 is a better age to change","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"The older children would have a big impact on the younger children","NA","NA","NA","NA",1
236025,"Equality","Continuity of care from 11-19","Choice","NA","NA",3,"Near hand","All getting one choice of teaching","School of their own choice","NA","NA",3,"Withdrawing status from Grammar schools","Comprehensive system","NA","NA","NA",2,"They might not think they would get the teaching they needed for the brighter pupils","NA","NA","NA","NA",1,"Ethos","Principles","Unwilling to learn from other religions/faiths","No integrations","Politics",5,"Not to be swayed by other religions","Keep segregation","NA","NA","NA",2,"Equality of pupils, respecting eachother's views","Learning to live as one community rather than two or more","Trying to change the NI that we grew up in","Building a more diverse world for our children","Encouraging openness & fairness to everyone",5,"Integration way forward","Bring two communities together","People need to learn about other religions","NA","NA",3,"Sharing of views","Sharing of ideas","Diversifying","Saving money","NA",4,"Integration","Mixing both religions","Mixing both sexes","NA","NA",3,"Fear","Unwilling to listen or yield to anothers faith/religion","Seen as 'giving in' on one part or another","NA","NA",3,"Fear","Fear of the other tradition","NA","NA","NA",2,"Expenditure","NA","NA","NA","NA",1,"Keep the children at the same school for long","11 is too young to move","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Becoming like schools across the water","Too much change at 14 and 16","NA","NA","NA",2
196125,"Equality","Choice of subjects willbbe same for all","Diversity","Parental choice","Student choice",5,"Everyone given a chance","NA","NA","NA","NA",1,"Loose identity & background","Less able overlooked","More capable overlooked","Not enough emphasis on core subjects","To difficult to police",5,"Those with low ability or in a similar group to those with high","NA","NA","NA","NA",1,"Continuation of beliefs","Confirmation of identity","Good example from peers","Knowing boundaries/discipline","Support & understanding",5,"Brought up in their faith","It's traditional, keep to what they know","No others","Fear of losing their rights over faith","NA",4,"Loose identity","Only leads to increased conflicts","Loose foundaion & beliefs","NA","NA",3,"Learn to live together I suppose","NA","NA","NA","NA",1,"It broadend views","Enlightening","Tolerance","Reduces misconceptions","Acceptable",5,"No idea","NA","NA","NA","NA",1,"Not necessary","NA","NA","NA","NA",1,"Too much disruption","NA","NA","NA","NA",1,"Fear of change","Wanting to keep children near","Good school, why change?","Different educational needs","Complacency",5,"No idea sorry","NA","NA","NA","NA",1,"11-14 children are at too advanced stag for younger age","Too mature to mix with younger age group intellectually, socially and physically","NA","NA","NA",2,"14 too old when mixing with 7 year olds","NA","NA","NA","NA",1
236022,"Everyone treated on an equal level","Choice of subjects willbbe same for all","No difference between vocational & grammar level","NA","NA",3,"Everyone is taught the same","NA","NA","NA","NA",1,"Take away a single schools identity","Lower standards for more capable children","No-one will have freedom of choice as to level of education they deserve","NA","NA",3,"Smater kids won't be pushed on","NA","NA","NA","NA",1,"Safe environment to start school (primary)","The teachings and values of their religion","Family values","School traditions","School pedigree",5,"Staying with their own beliefs","Keep history going","NA","NA","NA",2,"Community relations","They way our society is heading","To encourage children to embrace the other community","NA","NA",3,"Do away with Protestant Catholic thing","Forget about religions","NA","NA","NA",2,"To encourage compitions and to make everyone seen, as if no difference","They didn't want their children being taught with other religious communities","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Would be dsruptive","NA","NA","NA","NA",1,"May end the sectarian divide","Both would avail of substantial funding","NA","NA","NA",2,"Stop testing in P7. No pressure of exams","NA","NA","NA","NA",1,"Religion","Family tadition (going to school in the past)","Schools identity","NA","NA",3,"Want a choice of grammar or main stream school","NA","NA","NA","NA",1
282085,"More subjects","Equal transport","Equal options","Equal teaching ability","NA",4,"Parents don’t want to accept that their child is different and would want everyone to be treated the same","NA","NA","NA","NA",1,"Religion","Sharing school","Sharing campus","Travel","NA",4,"children need different types of school, especially special needs","NA","NA","NA","NA",1,"Religion guidance","NA","NA","NA","NA",1,"Don't want to loose their religion","Need the input from schools to hwelp children understand their religion","NA","NA","NA",2,"Money","NA","NA","NA","NA",1,"To break the relgious divide","Get to know other cultures","NA","NA","NA",2,"Understanding of eachother","NA","NA","NA","NA",1,"Learn to make friends not enemies","NA","NA","NA","NA",1,"Not understanding of eachother","NA","NA","NA","NA",1,"Afraid of change","Power to dominate their children","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Do away with 11+","Rather doing exams at 11 do them at 14","NA","NA","NA",2,"Upset and change","Stress to child","NA","NA","NA",2,"Why fix that which is not broken, the system is workin well at present","NA","NA","NA","NA",1
131229,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA
225108,"Same standard","Same choice","NA","NA","NA",2,"If they disagree with the 11+","NA","NA","NA","NA",1,"Standard reduced","Potential of children not reached","NA","NA","NA",2,"Because going from the capable to uncapable children and he more capable child willdrop","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Depends  on their experience in life","Home environment","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"To change the situation we are in today","Lss threat","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"It should not matter","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Children are older before they are separated","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Children are used to the 11+ system","NA","NA","NA","NA",1
234081,"So less academic children have a chance","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Academic snobbery","NA","NA","NA","NA",1,"Not enough specialist teaching","NA","NA","NA","NA",1,"Fear","bigotry","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Hope for a better future","NA","NA","NA","NA",1,"Better chance of peace in the future through more understanding","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Good for children to mix with other religion","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Could be disruptive to some schools","NA","NA","NA","NA",1,"To stop selection at age 11","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"To keep grammar schools alive","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0
165141,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Everybody is individual","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Confirmation etc. e.g. Special days","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Children would mix more","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"To get children to mix together","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Traditions","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"When they get older they can make up their own minds","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Tradition","NA","NA","NA","NA",1
224162,"That all children receive the same standard of education","That all children are seen as individuals","The choices are readily available in parent/pupil decision","The colaboration of one or more schools is in everyone's best interest","NA",4,"Because it's an equal balance of curriculum","NA","NA","NA","NA",1,"That less academic is less of a challennge","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"That it enhances their roots and background beliefs","That it will cause less segregation","NA","NA","NA",2,"That it keeps their single identity","Keep their own faith","NA","NA","NA",2,"It would encourage more understanding of eachother","It would deliver an equally balanced level of education","It ould help break down the divide of conflict","NA","NA",3,"That it woulld decrease the level of discrimination","Make people aware of their culture","NA","NA","NA",2,"It would build on a better future","It would encourage children to work together","It would deliver the equality of education being offered","It would work both to the advantage of economic growth","NA",4,"Cause less division","Build friendship","NA","NA","NA",2,"That schools should remain single identity","That the Churche's would have less of a say in teaching","It could encourage segragation","NA","NA",3,"Takes away the fact that there is a single identity","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Cause it gives the younger children better education","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"That the children too young at seven","NA","NA","NA","NA",1
256042,"It would give each school enough pupils","Children would learn more","People would get on better","NA","NA",3,"Every person gets a choice","Makes people they can't do a thing","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"their children could do better at a grammar school","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Stop all the fighting and arguing, help make a better world","NA","NA","NA","NA",1,"The children would get on better","They would learn more about eachother","NA","NA","NA",2,"Some people think people would still argue over religion","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Fear of the past","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Making change. Help people get on together","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"A better age to help eachother learn","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0
